config_name,mean_rank,best_cells,mean_mse
swish_ffn_outtanh,5.333333333333333,0,0.29843440155188233
tanh_ffn_outtanh,5.666666666666667,1,0.29840369025866187
swish_ffn_linear,5.666666666666667,0,0.2999190539121627
tanh_sin001_ffn_outtanh,6.0,0,0.2984147916237513
gelu_ffn_outtanh,6.0,1,0.2985555032889048
gelu_ffn_linear,6.0,0,0.29997170964876807
relu_ffn_outtanh,6.333333333333333,0,0.2985512415568034
softsign_ffn_outtanh,6.333333333333333,0,0.2987219542264938
relu_ffn_linear,6.666666666666667,0,0.3001007040341695
tanh_sin001_ffn_linear,7.333333333333333,1,0.3003487139940262
tanh_ffn_linear,8.0,0,0.3003760427236557
softsign_ffn_linear,8.666666666666666,0,0.3007883628209432
