dataset,pred_len,seq_len,patch_len,stride,e_layers,d_model,n_heads,d_ff,batch_size,train_epochs,config_name,activation_signature,placement,seed_count,mse_mean,mse_std,mae_mean,mae_std,rank
ETTh2,168,336,16,8,3,16,4,128,128,20,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,3,0.32587979237238557,0.0017459829345106363,0.37059006094932556,0.0011905037424131727,1.0
ETTh2,336,336,16,8,3,16,4,128,128,20,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,3,0.3284500340620677,0.0005283864522811148,0.38438204924265545,0.0009354676986034477,1.0
ETTh2,720,336,16,8,3,16,4,128,128,20,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,3,0.37831496198972064,0.0013728190625910326,0.41821983456611633,0.000836820766759028,1.0
ETTm2,96,336,16,8,3,128,16,256,128,20,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,3,0.1655888458093007,0.0009037757389714093,0.2543961803118388,0.001108647154837519,1.0
ETTm2,288,336,16,8,3,128,16,256,128,20,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,3,0.26273878415425617,0.0020405863438131035,0.3208762804667155,0.0007882124694960375,1.0
ETTm2,672,336,16,8,3,128,16,256,128,20,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,3,0.35523249705632526,0.0007543683803074536,0.3773835599422455,0.0003510693957775506,1.0
Solar2,24,96,16,8,3,128,8,256,128,20,tanh_sin001_ffn_linear,act=tanh_sin|ffn=tanh_sin|out=linear|a=0.01,ffn_linear,3,0.06517332047224039,0.0005467123560755935,0.130756268898646,0.0009283274447235986,1.0
Solar2,96,96,16,8,3,128,8,256,128,20,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,3,0.09855036189158754,0.0003018434408274542,0.1776194224754969,0.00046522476724949124,1.0
Solar3,24,96,16,8,3,128,8,256,128,20,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,3,0.2790345549583435,0.0023341723919720267,0.3030668795108795,0.001492754107083712,1.0
Solar3,96,96,16,8,3,128,8,256,128,20,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,3,0.4464092453320821,0.0012883108688151407,0.418380469083786,0.0025557681266507115,1.0
Solar5,24,96,16,8,3,128,8,256,128,20,tanh_sin001_ffn_linear,act=tanh_sin|ffn=tanh_sin|out=linear|a=0.01,ffn_linear,3,0.1132596855362256,0.00018478889116685021,0.16209468245506278,0.0019166297750040045,1.0
Solar5,96,96,16,8,3,128,8,256,128,20,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,3,0.17458280920982358,0.0019145211080910645,0.22406789660453794,0.003168552881384874,1.0
