dataset,pred_len,activation,encoder_activation,decoder_activation,output_activation,activation_signature,placement,sample_mse_target_mean,sample_mse_target_std,sample_count,seed_count
ETTh1,168,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.9724961622638889,0.6295291988502494,8064,3
ETTh1,168,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,full-hidden,1.3043670329807788,0.7657777707199604,8064,3
ETTh1,336,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.5995427262456487,0.29657656779573455,7584,3
ETTh1,336,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,full-hidden,0.8415976072797995,0.3326619545468453,7584,3
ETTh2,168,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,2.29435691062748,0.9599116853635967,8064,3
ETTh2,168,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,full-hidden,3.4542643972470235,1.392465319245395,8064,3
ETTh2,336,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,1.662899870114715,0.8225800947597002,7584,3
ETTh2,336,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,full-hidden,1.989337794001846,1.178454891571497,7584,3
Solar1,96,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.17755797765199713,0.19750430027652677,41760,3
Solar1,96,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.17796720931277776,0.19781390961776377,41760,3
Solar1,96,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.17932886560645356,0.19435257829262872,41760,3
Solar1,96,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,full-hidden,0.18302640326109673,0.20587548026475522,41760,3
Solar1,96,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,full-hidden,0.19167124568444685,0.21007036125099013,41760,3
Solar1,96,gelu,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,full-hidden,0.19283224585662595,0.20961830729446854,41760,3
Solar5,96,gelu,tanh,gelu,linear,act=gelu|enc=tanh|dec=gelu|out=linear|a=0|lee=1,encoder-only,0.2506461925703089,0.28011279095746744,41760,3
Solar5,96,tanh_sin,tanh_sin,tanh_sin,linear,act=tanh_sin|enc=tanh_sin|dec=tanh_sin|out=linear|a=0.01|lee=1,full-hidden,0.2550395208823611,0.28810929675265534,41760,3
Solar5,96,tanh,tanh,tanh,linear,act=tanh|enc=tanh|dec=tanh|out=linear|a=0|lee=1,full-hidden,0.26398410267584055,0.2936656155284552,41760,3
Solar5,96,swish,swish,swish,linear,act=swish|enc=swish|dec=swish|out=linear|a=0|lee=1,full-hidden,0.27306337092462407,0.31374011368110855,41760,3
Solar5,96,gelu,gelu,gelu,linear,act=gelu|enc=gelu|dec=gelu|out=linear|a=0|lee=1,full-hidden,0.28120058879802445,0.3079867721246762,41760,3
Solar5,96,relu,relu,relu,linear,act=relu|enc=relu|dec=relu|out=linear|a=0|lee=1,full-hidden,0.2876701706787117,0.3058181852554502,41760,3
