selected_feature,count,evaluation_granularity,feature_set,eval_name
router_constant,57,config,constant_scope_rule,leave_cell
router_constant,57,config,constant_scope_rule,leave_dataset
router_multivar_correlation_condition_number,56,config,data_only,leave_cell
input_daily_cycle_energy_ratio,1,config,data_only,leave_cell
input_daily_cycle_energy_ratio,29,config,data_only,leave_dataset
router_multivar_correlation_condition_number,18,config,data_only,leave_dataset
router_freq_seasonal_peak_strength,10,config,data_only,leave_dataset
input_daily_cycle_energy_ratio,55,config,frequency_only,leave_cell
router_timefreq_dominant_frequency_drift,1,config,frequency_only,leave_cell
router_freq_harmonic_energy_ratio,1,config,frequency_only,leave_cell
input_daily_cycle_energy_ratio,39,config,frequency_only,leave_dataset
router_freq_seasonal_peak_strength,10,config,frequency_only,leave_dataset
input_dominant_frequency_energy_ratio,4,config,frequency_only,leave_dataset
router_freq_harmonic_energy_ratio,4,config,frequency_only,leave_dataset
router_multivar_correlation_condition_number,56,config,statistical_only,leave_cell
input_anomaly_density_intensity,1,config,statistical_only,leave_cell
router_multivar_correlation_condition_number,37,config,statistical_only,leave_dataset
input_range,12,config,statistical_only,leave_dataset
input_anomaly_density_intensity,4,config,statistical_only,leave_dataset
input_jump_intensity,4,config,statistical_only,leave_dataset
d_layers,57,config,topology_only,leave_cell
d_layers,45,config,topology_only,leave_dataset
seq_len,12,config,topology_only,leave_dataset
is_informer,57,config,model_id_only,leave_cell
is_informer,57,config,model_id_only,leave_dataset
is_informer,57,config,architecture_flags,leave_cell
is_informer,57,config,architecture_flags,leave_dataset
d_layers,57,config,all_features,leave_cell
d_layers,45,config,all_features,leave_dataset
router_freq_seasonal_peak_strength,12,config,all_features,leave_dataset
